stop_name,realised,unrealised,unrealised_ratio
Hod HaSharon,5560,26,0.004654493376297888
Kiryat Gat,4125,23,0.005544840887174542
Hutsot HaMifrats,4972,22,0.004405286343612335
Be'er Sheva Center,4082,24,0.0058451047247929854
Bat Yam - Komemiyyut,4823,20,0.0041296716911005575
Bne Brak,5561,19,0.0034050179211469536
Kesariyya - Pardes Hanna,4149,48,0.01143674052894925
Tel Aviv HaHagana,26009,139,0.005315894141043292
Yavne,2689,15,0.005547337278106509
Ashkelon,6343,26,0.004082273512325325
Modiin Center,4858,17,0.0034871794871794873
Holon - Wolfson,4823,20,0.0041296716911005575
Holon Junction,4824,20,0.004128819157720892
Be'er Sheva North University,4545,37,0.008075076385857704
Jerusalem Malha,1520,19,0.012345679012345678
Petah Tikva Sgulla,5557,24,0.004300304604909514
Haifa Hof HaKarmel (Razi'el),10875,56,0.005123044552191016
Rishon LeTsiyyon HaRishonim,2319,11,0.004721030042918455
Ganey Aviv,3209,13,0.0040347610180012415
Yavne - West,3652,13,0.0035470668485675307
Bet Shemesh,2572,42,0.016067329762815608
Ramla,4892,52,0.010517799352750809
Netivot,3191,24,0.007465007776049767
Rosh Ha'Ayin North,5562,24,0.004296455424274973
Be'er Ya'akov,3612,29,0.007964844822850866
Herzliyya,10306,135,0.012929795996552054
Leb Hmifratz,7833,36,0.004574914220358368
Lod,13994,90,0.006390230048281738
Binyamina,10026,75,0.007425007425007425
Rishon LeTsiyyon - Moshe Dayan,5864,22,0.0037376826367652057
Sderot,3203,12,0.0037325038880248835
Hadera West,5388,38,0.007003317360855142
Haifa Bat Gallim,10100,52,0.00512214342001576
Jerusalem Biblical Zoo,762,9,0.011673151750972763
Bet Yehoshua,7241,62,0.008489661782828974
Dimona,462,14,0.029411764705882353
Ashdod Ad Halom,6343,26,0.004082273512325325
Nahariyya,6729,39,0.00576241134751773
Petah Tikva   Kiryat Arye,5557,24,0.004300304604909514
Lehavim - Rahat,3043,18,0.005880431231623653
Kiryat Motzkin,8463,39,0.0045871559633027525
Kfar Habbad,2471,10,0.004030632809351068
Tel Aviv HaShalom,25992,152,0.005813953488372093
Rehovot E. Hadar,5819,35,0.005978817902289033
Kfar Sava,5561,25,0.00447547440028643
Kiryat Hayyim,6034,30,0.004947229551451188
Natanya,8017,68,0.008410636982065553
Ben Gurion Airport,6095,22,0.0035965342488147784
Akko,7875,34,0.004298899987356176
Bat Yam - Yoseftal,4823,20,0.0041296716911005575
Modiin,4858,17,0.0034871794871794873
Tel Aviv - University,22404,186,0.008233731739707836
Haifa Center HaShmona,10873,55,0.00503294289897511
Tel Aviv Center - Savidor,26756,147,0.005464074638516151
Atlit,2636,11,0.00415564790328674
